Column|Format|QuestionText|dtcode
Alert43_6||IGNORE|5_67
Alert44_1||IGNORE|5_68
Alert44_2||IGNORE|5_69
Alert44_3||IGNORE|5_70
Alert44_4||IGNORE|5_71
Alert44_5||IGNORE|5_72
Alert44_6||IGNORE|5_73
Alert45_1||IGNORE|5_74
Alert45_2||IGNORE|5_75
Alert45_3||IGNORE|5_76
Alert45_4||IGNORE|5_77
Alert45_5||IGNORE|5_78
Alert45_6||IGNORE|5_79
Alert46_1||IGNORE|5_80
Alert46_2||IGNORE|5_81
Alert46_3||IGNORE|5_82
Alert46_4||IGNORE|5_83
Alert46_5||IGNORE|5_84
Alert46_6||IGNORE|5_85
||How much capital did your company raise in 2015 from institutional investors by investor type (million)?|6
q51_1|CURRENCY|Pension funds - Non-listed/ commingled real estate funds/private REITs|6_1
q51_2|CURRENCY|Pension funds - Separate accounts investing directly into real estate|6_2
q51_3|CURRENCY|Pension funds - Separate accounts investing into indirect vehicles|6_3
q51_4|CURRENCY|Pension funds - Joint ventures and club deals|6_4
q51_5|CURRENCY|Pension funds - Funds of funds|6_5
q51_6|CURRENCY|Pension funds - Non-listed debt products|6_6
q5ROW1_hidden|CURRENCY|Pension funds TOTAL|6_7
q52_1|CURRENCY|Insurance companies - Non-listed/ commingled real estate funds/private REITs|6_8
q52_2|CURRENCY|Insurance companies - Separate accounts investing directly into real estate|6_9
q52_3|CURRENCY|Insurance companies - Separate accounts investing into indirect vehicles|6_10
q52_4|CURRENCY|Insurance companies - Joint ventures and club deals|6_11
q52_5|CURRENCY|Insurance companies - Funds of funds|6_12
q52_6|CURRENCY|Insurance companies - Non-listed debt products|6_13
q5ROW2_hidden|CURRENCY|Insurance companies TOTAL|6_14
q53_1|CURRENCY|Sovereign wealth funds - Non-listed/ commingled real estate funds/private REITs|6_15
q53_2|CURRENCY|Sovereign wealth funds - Separate accounts investing directly into real estate|6_16
q53_3|CURRENCY|Sovereign wealth funds - Separate accounts investing into indirect vehicles|6_17
q53_4|CURRENCY|Sovereign wealth funds - Joint ventures and club deals|6_18
q53_5|CURRENCY|Sovereign wealth funds - Funds of funds|6_19
q53_6|CURRENCY|Sovereign wealth funds - Non-listed debt products|6_20
q5ROW3_hidden|CURRENCY|Sovereign wealth funds TOTAL|6_21
q54_1|CURRENCY|Government institutions - Non-listed/ commingled real estate funds/private REITs|6_22
q54_2|CURRENCY|Government institutions - Separate accounts investing directly into real estate|6_23
q54_3|CURRENCY|Government institutions - Separate accounts investing into indirect vehicles|6_24
q54_4|CURRENCY|Government institutions - Joint ventures and club deals|6_25
q54_5|CURRENCY|Government institutions - Funds of funds|6_26
q54_6|CURRENCY|Government institutions - Non-listed debt products|6_27
q5ROW4_hidden|CURRENCY|Government institutions TOTAL|6_28
q55_1|CURRENCY|Charities, foundations, non-profit organisations - Non-listed/ commingled real estate funds/private REITs|6_29
q55_2|CURRENCY|Charities, foundations, non-profit organisations - Separate accounts investing directly into real estate|6_30
q55_3|CURRENCY|Charities, foundations, non-profit organisations - Separate accounts investing into indirect vehicles|6_31
